統編,公司名稱,公司地址,ADDR_X,ADDR_Y
00726398,圓藝企業股份有限公司,114臺北市內湖區基湖路35巷49號,307146,2774694
01177119,蜜雪兒開發股份有限公司,114臺北市內湖區瑞光路26巷20弄25號6樓,308718,2773637
01180613,隆電股份有限公司,114臺北市內湖區內湖路1段250號11樓,307169,2774976
01181325,哈帝股份有限公司,114臺北市內湖區堤頂大道2段201號8樓,307329,2774513
01183554,合全產品開發股份有限公司,114臺北市內湖區瑞光路478巷18弄32號8樓,307272,2774611
01187025,優仕咖啡股份有限公司,114臺北市內湖區瑞光路26巷36弄6號2樓,308691,2773573
01189092,啟延電子科技股份有限公司,114臺北市內湖區內湖路1段306號6樓之2,307415,2774952
01193407,國華保全股份有限公司,114臺北市內湖區港墘路221巷33號7樓,307973,2774082
01193862,馭航股份有限公司,114臺北市內湖區瑞湖街103號5樓之2,308133,2773950
01356605,神谷機工股份有限公司,114臺北市內湖區瑞光路188巷43號8樓,30816,277410
01458645,華格生物科技有限公司,114臺北市內湖區堤頂大道2段473號6樓,306722,2774948
01506371,中太科技股份有限公司,114臺北市內湖區陽光街345巷5號2樓之1,308326,2773924
01507907,典業有限公司,114臺北市內湖區洲子街85號5樓之1,307564,2774806
01508624,德技股份有限公司,114臺北市內湖區內湖路1段308號4樓,30741,277493
01510868,竟元企業有限公司,114臺北市內湖區內湖路1段68號10樓,306733,2775156
01515462,寬友股份有限公司,114臺北市內湖區陽光街345巷16號2樓,308306,2773898
01517124,國眾電腦股份有限公司,114臺北市內湖區陽光街298號3樓,307971,2773947
01519050,楷成企業股份有限公司,114臺北市內湖區瑞光路478巷20號4樓,307393,2774560
01983991,弘原探勘有限公司,114臺北市內湖區瑞光路194號,308216,2774191
03028426,大安工研食品工廠股份有限公司,114臺北市內湖區基湖路35巷6號5樓,307062,2774704
03115006,網上穿越有限公司,114臺北市內湖區瑞湖街88號8樓,308110,2773911
03156408,中華書局股份有限公司,114臺北市內湖區舊宗路2段181巷6號5樓,30799,277383
03190623,合騰國際有限公司,114臺北市內湖區洲子街85號4樓,307564,2774806
03195514,宏立股份有限公司,114臺北市內湖區瑞光路192號9樓,308222,2774179
03250706,和泰股份有限公司,114臺北市內湖區洲子街68號4樓,307711,2774705
03253653,東武有限公司,114臺北市內湖區瑞光路76巷47號6樓,308576,2773706
03436008,景德製藥股份有限公司,114臺北市內湖區港墘路221巷41號4樓,30801,277402
03484113,瑞順貿易有限公司,114臺北市內湖區瑞光路478巷18弄30號7樓,307278,2774609
03576611,銳昌企業股份有限公司,114臺北市內湖區陽光街321巷12號1樓,308365,2773959
03618703,寶島鐘錶股份有限公司,114臺北市內湖區瑞光路513巷30號6樓,307485,2774750
03626801,佳美貿易股份有限公司,114臺北市內湖區瑞光路302號9樓,307932,2774373
03731206,中國郵報社股份有限公司,114臺北市內湖區瑞湖街111號,30815,277385
04229604,仕瑋企業有限公司,114臺北市內湖區瑞光路258巷2號3樓之1,308052,2774220
